date,site,plot,trt,code,rep,envelope_stem,stem_length_cm,stem_weight_fresh_g,starting_ml,ending_ml,weight_displaced_water_g,stem_weight_dry_g,notes
5/24/2023,temple,1,ctl,2PGATE,2,108,12.5,0.02,90,90,0.02,0.0214,2PGATE = 2 Plant GATE 
5/24/2023,temple,1,ctl,2PGATE,1,111,12,0.03,90,90,0.03,0.0259,2PGATE = 2 Plant GATE
5/23/2023,temple,1,ctl,AMTR,1,4,15,2.21,mia,mia,2.2,0.5081,sample too tall for ml tube (cut smaller samples)
5/23/2023,temple,1,ctl,AMTR,2,7,12,2.79,NA,NA,2.79,0.7445,
5/23/2023,temple,1,ctl,AMTR,3,10,15,3.27,NA,NA,3.27,0.7025,
5/24/2023,temple,1,ctl,AMTR,4,70,13,6.67,92,98,6.48,1.8317,
5/24/2023,temple,1,ctl,CIEN,1,90,12.3,2.27,93,95,2.3,0.2316,
5/24/2023,temple,1,ctl,CIEN,2,93,12,0.62,95,96,0.65,0.548,
5/24/2023,temple,1,ctl,COCA,1,73,11.5,0.11,91,91,0.2,0.0371,
5/24/2023,temple,1,ctl,COER,1,96,12,1.37,94,96,1.45,0.1586,
5/24/2023,temple,1,ctl,COER,2,99,12,1.77,95,97,1.86,0.2122,
5/24/2023,temple,1,ctl,EUBPA,1,114,12,0.61,90,91,0.67,0.2158,species code eupba
5/24/2023,temple,1,ctl,EUBPA,2,117,12,0.58,90,90,0.72,0.2156,
5/24/2023,temple,1,ctl,EUDE,1,40,12.02,0.11,91,91,0.06,0.0252,
5/24/2023,temple,1,ctl,GAPU,1,102,12.2,3.33,95,99,3.6,1.0295,
5/24/2023,temple,1,ctl,GAPU,2,105,12,4.95,95,102,5.53,1.4079,final ml is approximate
5/24/2023,temple,1,ctl,GATE,1,85,12.2,0.2,90,91,0.31,0.0676,
5/24/2023,temple,1,ctl,GATE,2,88,11.4,0.19,93,93,0.19,0.0764,
5/24/2023,temple,1,ctl,GRASS,1,120,10.7,0.15,90,90,0.15,0.0707,
5/23/2023,temple,1,ctl,GRASS,2,123,12,0.15,95,95,0.31,0.0633,
5/24/2023,temple,1,ctl,MOCI,1,58,11.7,0.89,92,93,0.88,0.2648,
5/24/2023,temple,1,ctl,MOCI,2,61,12,1.07,93,94,1.04,0.4009,
5/24/2023,temple,1,ctl,PAPE,1,79,11.6,0.15,93,93,0.16,0.044,sticky
5/24/2023,temple,1,ctl,PAPE,2,82,11.5,0.18,93,93,0.18,0.0487,sticky
5/25/2023,temple,1,ctl,PHMO,1,126,11.8,0.4,94,94,0.4,0.1595,
5/25/2023,temple,1,ctl,PHMO,2,129,11.6,0.68,94,95,0.72,0.1797,
5/24/2023,temple,1,ctl,RUTR,1,22,12,1.8,91,93,1.9,0.7227,
5/24/2023,temple,1,ctl,RUTR,2,25,12,1.49,91,93,1.7,0.7244,
5/24/2023,temple,1,ctl,RUTR,3,28,12,3.2,90,94,3.68,1.3686,
5/23/2023,temple,1,ctl,SCSC,1,13,14,0.25,NA,NA,0.27,0.0427,iffy weight over the ml line
5/23/2023,temple,1,ctl,SCSC,2,16,22,0.09,NA,NA,0.18,0.046,
5/23/2023,temple,1,ctl,SCSC,3,19,11.5,0.07,47,NA,0.09,0.0228,
5/24/2023,temple,1,ctl,SCSC,4,76,12,0.08,93,93,0.1,0.0421,
5/24/2023,temple,1,ctl,SOHA,2,64,12,1.56,92,94,1.45,0.5413,soft
5/24/2023,temple,1,ctl,SOHA,1,67,12.1,1.37,91,92,1.3,0.4365,
5/24/2023,temple,1,ctl,SPCO,1,31,11.6,0.07,90,90,0.02,0.0456,
5/24/2023,temple,1,ctl,SPCO,2,34,12.2,0.27,91,91,0.3,0.0948,
5/24/2023,temple,1,ctl,TOAR,1,37,10.7,1.63,90,91,1.62,0.4456,
5/24/2023,temple,1,ctl,TOAR,2,46,12,1.22,93,95,1.28,0.2255,
5/24/2023,temple,1,ctl,TRBR,1,49,12.1,0.06,93,93,0.04,0.0443,
5/24/2023,temple,1,ctl,TRBR,2,52,12,0.12,93,93,0.1,0.0534,
5/24/2023,temple,1,ctl,TRBR,3,55,12,0.08,92,92,0.01,0.0569,
5/25/2023,temple,8,npk,AMTR,1,20,9.3,2.71,95,98,2.64,0.4982,measured at 8 cm NOT 10 cm
5/25/2023,temple,8,npk,AMTR,2,23,13.2,5.95,91,97,6.03,1.0421,
5/25/2023,temple,8,npk,COCA,1,26,12,0.16,93,93,0.17,0.0853,
5/25/2023,temple,8,npk,COCA,2,29,12.5,0.14,91,91,0.08,0.0651,
5/25/2023,temple,8,npk,mia,mia,17,13.1,0.62,94,95,0.66,0.136,no sample code or rep
5/25/2023,temple,8,npk,MOCI,1,32,13.5,2.58,92,95,2.5,0.7026,
5/25/2023,temple,8,npk,MOCI,2,35,13.2,4.83,94,98,4.91,1.3171,
5/25/2023,temple,8,npk,PAPE,1,38,13.3,0.47,95,95,0.47,0.0923,
5/25/2023,temple,8,npk,PAPE,2,41,12.2,0.09,94,94,0.07,0.0245,
5/25/2023,temple,8,npk,SCSC,1,14,11.5,0.95,93,95,0.96,0.1798,
5/25/2023,temple,8,npk,SOHA,1,8,10.5,1.24,95,96,1.23,0.3334,
5/25/2023,temple,8,npk,SOHA,2,11,12.8,0.7,94,95,0.65,0.2313,
5/24/2023,temple,8,npk,TOAR,1,2,12.5,1.32,90,92,1.31,0.3297,
5/25/2023,temple,8,npk,TOAR,2,5,11.6,2.25,94,97,2.48,0.4772,
5/26/2023,temple,11,ctl,AMTR,1,8,9.8,1.75,89,91,1.6,0.4787,
5/25/2023,temple,11,ctl,AMTR,2,11,12.5,1.99,91,94,1.77,0.5756,
5/25/2023,temple,11,ctl,COCA,1,20,12,0.14,93,93,0.07,0.0601,
5/26/2023,temple,11,ctl,COCA,1,20,11.9,0.15,91,91,0.12,0.0747,new hard
5/25/2023,temple,11,ctl,COCA,2,23,11.8,0.13,91,91,0.09,0.0622,
5/25/2023,temple,11,ctl,MOCI,1,32,11.9,0.86,96,97,0.83,0.2089,
5/25/2023,temple,11,ctl,MOCI,2,35,12.2,0.76,96,96,0.76,0.2537,
5/25/2023,temple,11,ctl,PTSE,1,38,13,4.02,92,96,4.07,1.2478,
5/25/2023,temple,11,ctl,PTSE,2,41,11.5,1.18,94,96,1.23,0.4521,
5/26/2023,temple,11,ctl,SCSC,2,11,10.9,0.22,92,93,0.24,0.0471,
5/26/2023,temple,11,ctl,SCSC,1,14,11.5,0.38,89,90,0.38,0.086,
5/25/2023,temple,11,ctl,SCSC,2,17,12,0.11,92,92,0.11,0.0339,
5/26/2023,temple,11,ctl,SOHA,1,2,12,1.42,89,91,1.57,0.5467,
5/25/2023,temple,11,ctl,SOHA,2,5,12,0.93,92,94,0.82,0.3413,
5/25/2023,temple,11,ctl,SONU,1,44,11.5,1.38,93,95,1.45,0.2984,
5/25/2023,temple,11,ctl,SONU,2,47,12,0.94,94,95,0.91,0.267,
