date ,people,site,plot,trt,code,rep,multi_time,envelope_multi,p_height_cm,ddh_90_mm,ddh_180_mm,envelope_stem,_extra,notes
6/23/2023,MK,arch,1,ctl,SCRH,1,15:07,190,63,146,13.53,191,198,
6/23/2023,MK,arch,1,ctl,DICHA,1,14:42,193,16,0.8,1.01,188,192,ddh measured at 8cm; small stem
6/23/2023,MK,arch,1,ctl,PANO,1,14:58,196,12,0.81,1.52,200,201,ddh measured at 0.5cm; very small stem
6/23/2023,MK,arch,1,ctl,QUMI,1,14:51,199,24,1.67,1.71,194,189,
6/23/2023,MK,arch,11,ctl,QUMI,1,15:19,202,35,4.41,4.29,207,233,
6/24/2023,MK,arch,11,ctl,DICHA,1,14:57,205,25,0.5,0.53,204,203,
6/24/2023,MK,arch,11,ctl,HYED,1,14:47,208,86,5.54,5.74,235,209,
6/24/2023,MK,arch,11,ctl,SCRH,1,14:44,211,53,1.49,9.16,236,234,
6/23/2023,MK,arch,8,npk,SCRH,1,10:26,217,76,1.34,10.22,228,230,
6/23/2023,MK,arch,8,npk,QUMI,1,10:30,226,60,4.76,4.93,225,227,
6/23/2023,MK,arch,8,npk,PANO,1,11:47,229,27,1.34,7.57,216,215,ddh measured at 5cm; short stem syndrome
6/23/2023,MK,arch,8,npk,DICHA,1,11:40,232,28,0.7,0.63,231,218,ddh measured at 8cm; node at 10cm
6/24/2023,MK,arch,11,ctl,PANO,1,15:06,237,23,3.29,3.45,210,206,
6/24/2023,MK,arch,18,npk,SCRH,1,15:37,238,73,1.41,5.93,239,240,
6/24/2023,MK,arch,18,npk,HYED,1,15:22,241,100,7.42,7.56,242,243,
6/24/2023,MK,arch,18,npk,QUMI,1,15:17,244,17,2.06,2.13,245,246,ddh measured at 6cm; small stem
6/24/2023,MK,arch,18,npk,PANO,1,15:18,247,15,1.27,6.67,248,249,ddh measured at 2cm; small stem
6/24/2023,MK,arch,18,npk,DICHA,1,15:38,252,45,0.75,0.73,251,250,ddh extra 0.72mm 0.77mm
6/26/2023,MK,arch,21,ctl,SCRH,1,16:13,253,73,1.48,11.3,254,255,
6/26/2023,MK,arch,21,ctl,QUMI,1,16:23,256,25,3.8,3.84,257,258,
6/26/2023,MK,arch,21,ctl,HYED,1,9:44,259,111,5.27,4.76,260,261,
6/26/2023,MK,arch,21,ctl,PANO,1,16:01,262,13,0.87,4.77,263,264,
6/26/2023,MK,arch,21,ctl,DICHA,1,16:23,265,21,1.74,1.52,266,267,might need another hard measure; might be DITT species?
6/26/2023,MK,arch,28,npk,SCRH,1,17:01,268,85,1.68,6.45,269,270,
6/26/2023,MK,arch,28,npk,QUMI,1,17:00,271,19,1.72,1.75,272,273,
6/26/2023,MK,arch,28,npk,HYED,1,16:59,274,84,6.9,6.71,275,276,Not totally sure if the leaf taken is the LICOR leaf; rehydrated
6/26/2023,MK,arch,28,npk,PANO,1,16:41,277,40,2.44,3.41,278,279,
6/26/2023,MK,arch,28,npk,DICHA,1,16:57,280,23,0.8,0.76,281,282,
6/26/2023,MK,arch,1,ctl,HYED,1,17:28,283,75,4.93,4.89,284,285,
6/26/2023,MK,arch,8,npk,HYED,1,17:25,286,88,6.3,6.46,287,288,
6/26/2023,MK,arch,21,ctl,SCRH,3,16:06,289,56,1.29,10.92,290,291,hard
6/27/2023,MK,arch,1,ctl,QUMI,2,9:31,292,28,1.99,2.18,293,294,
6/26/2023,MK,arch,28,npk,HYED,3,16:39,295,101,6.77,7.2,296,297,hard measurements taken as backup 
6/27/2023,MK,arch,1,ctl,PANO,2,10:32,298,15,NA,NA,299,300,no stem collected cause stem is underground ????; only leaves 
06/27/0202,MK,arch,1,ctl,DICHA,2,9:33,301,20,0.41,0.37,302,303,measured ddh at 8cm; anomally (node) at 10cm
6/27/2023,MK,arch,1,ctl,PTPY,2,10:12,304,47,1.51,1.28,305,306,"measured ddh at 19cm cause Monika ripped off part of the stem; measurement does NOT include ""wings"" on stem"
