"","DatasetID","ObservationID","LastName","FirstName","Dataset","SpeciesName","AccSpeciesID","AccSpeciesName","ObsDataID","TraitID","TraitName","DataID","DataName","OriglName","OrigValueStr","OrigUnitStr","ValueKindName","OrigUncertaintyStr","UncertaintyName","Replicates","StdValue","UnitName","RelUncertaintyPercent","OrigObsDataID","ErrorRisk","Reference","Comment","StdValueStr","X","%nitrogen","%carbon","lat","long"
"1",10,19225,"Craine","Joseph","Roots Of the World (ROW) Database","Schizachyrium scoparium",48859,"Schizachyrium scoparium",484509,14,"Leaf nitrogen (N) content per leaf dry mass",15,"Leaf nitrogen content per dry mass (Nmass)","Leaf %N","0.97","%","Single",NA,"","",9.7,"mg/g",NA,60967200,2.15105,"Craine, J. M., W. G. Lee, W. J. Bond, R. J. Williams, and L. C. Johnson. 2005. Environmental constraints on a global relationship among leaf and root traits of grasses. Ecology 86:12-19.","unadjusted N concentration","",NA,9.7,436,NA,NA
"2",10,19225,"Craine","Joseph","Roots Of the World (ROW) Database","Schizachyrium scoparium",48859,"Schizachyrium scoparium",484511,13,"Leaf carbon (C) content per leaf dry mass",14,"Leaf carbon content per dry mass","Leaf %C","43.6","%","Single",NA,"","",436,"mg/g",NA,NA,1.60221,"Craine, J. M., W. G. Lee, W. J. Bond, R. J. Williams, and L. C. Johnson. 2005. Environmental constraints on a global relationship among leaf and root traits of grasses. Ecology 86:12-19.","C concentration","",NA,9.7,436,NA,NA
"3",129,964010,"Enquist","Brian","The Americas N&P database","Lyonia lucida",34627,"Lyonia lucida",6106727,14,"Leaf nitrogen (N) content per leaf dry mass",15,"Leaf nitrogen content per dry mass (Nmass)","leafN","0.956667","%","Species mean",NA,"","",9.56667,"mg/g",NA,NA,1.50253,"Kerkhoff, A. J., W. F. Fagan, J. J. Elser, and B. J. Enquist. 2006. Phylogenetic and growth form variation in the scaling of nitrogen and phosphorus in the seed plants. American Naturalist 168:E103-E122.","","",NA,9.56667,NA,NA,NA
"4",129,964126,"Enquist","Brian","The Americas N&P database","Prosopis glandulosa",44133,"Prosopis glandulosa",6107547,14,"Leaf nitrogen (N) content per leaf dry mass",15,"Leaf nitrogen content per dry mass (Nmass)","leafN","2.956111","%","Species mean",NA,"","",29.56111,"mg/g",NA,NA,1.05199,"Kerkhoff, A. J., W. F. Fagan, J. J. Elser, and B. J. Enquist. 2006. Phylogenetic and growth form variation in the scaling of nitrogen and phosphorus in the seed plants. American Naturalist 168:E103-E122.","","",NA,29.56111,NA,NA,NA
"5",130,27620,"Craine","Joseph","Global 15N Database","Schizachyrium scoparium",48859,"Schizachyrium scoparium",685161,NA,"",60,"Longitude","Long","-90.059033","","",NA,"","",-90.059033,"",NA,NA,NA,"Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.","decimal","",NA,10.1,NA,43.19935,-90.059033
"6",130,27620,"Craine","Joseph","Global 15N Database","Schizachyrium scoparium",48859,"Schizachyrium scoparium",685162,NA,"",59,"Latitude","Lat","43.19935","","",NA,"","",43.19935,"",NA,NA,NA,"Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.","decimal","",NA,10.1,NA,43.19935,-90.059033
"7",130,27620,"Craine","Joseph","Global 15N Database","Schizachyrium scoparium",48859,"Schizachyrium scoparium",685172,14,"Leaf nitrogen (N) content per leaf dry mass",15,"Leaf nitrogen content per dry mass (Nmass)","Leaf %N","1.01","%","Single",NA,"","",10.1,"mg/g",NA,NA,2.02493,"Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.","% dry mass","",NA,10.1,NA,43.19935,-90.059033
"8",130,28527,"Craine","Joseph","Global 15N Database","Salsola sp.",48050,"Salsola sp",706828,NA,"",60,"Longitude","Long","21.9643382","","",NA,"","",21.9643382,"",NA,NA,NA,"Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.","decimal","",NA,22.4,NA,-29.516425,21.9643382
"9",130,28527,"Craine","Joseph","Global 15N Database","Salsola sp.",48050,"Salsola sp",706829,NA,"",59,"Latitude","Lat","-29.516425","","",NA,"","",-29.516425,"",NA,NA,NA,"Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.","decimal","",NA,22.4,NA,-29.516425,21.9643382
"10",130,28527,"Craine","Joseph","Global 15N Database","Salsola sp.",48050,"Salsola sp",706838,14,"Leaf nitrogen (N) content per leaf dry mass",15,"Leaf nitrogen content per dry mass (Nmass)","Leaf %N","2.24","%","Single",NA,"","",22.4,"mg/g",NA,NA,0.684063,"Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.","% dry mass","",NA,22.4,NA,-29.516425,21.9643382
"11",130,28765,"Craine","Joseph","Global 15N Database","Bouteloua gracilis",7911,"Bouteloua gracilis",712372,NA,"",60,"Longitude","Long","-93.166667","","",NA,"","",-93.166667,"",NA,NA,NA,"Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.","decimal","",NA,11.31368587,NA,45.4166667,-93.166667
