,NCRS.code,taxon,site,latitude,longitude,elevation.m,sampling.date,NCRS.code2,photo,duration,n.fixer,pft,leaf.area,n.leaf,c.leaf,mean.c.value_persite,mean.n.value_persite,mean.c.value_taxon,mean.n.value_taxon
1,ACAN11,Acaciella angustissima (Mill) Britton & Rose,Washington_2020_08,30.284962,-96.406236,107,5/31/2021,ACAN11,c3,perennial,yes,c3_legume,33.561,2.562,55.294,51.41166667,2.535333333,51.41166667,2.535333333
4,AMAR2,Ambrosia artemisiifolia L.,Bexar_2019_13,29.244832,-98.427454,154,7/19/2020,AMAR2,c3,annual,no,c3_forb,3.818,1.61,44.91,44.4325,1.85,41.8424,1.926
8,AMAR2,Ambrosia artemisiifolia L.,Fayette_2019_04,30.093534,-96.780727,114,6/20/2020,AMAR2,c3,annual,no,c3_forb,9.699,1.26,45.02,44.32,1.396666667,41.8424,1.926
11,AMAR2,Ambrosia artemisiifolia L.,Harris_2020_03,29.877754,-95.309644,23,7/17/2020,AMAR2,c3,annual,no,c3_forb,1.472,2.01,40.47,38.36333333,2.01,41.8424,1.926
17,AMAR2,Ambrosia artemisiifolia L.,Menard_2020_01,30.912522,-99.573082,553,7/21/2020,AMAR2,c3,annual,no,c3_forb,5.682,1.63,43.42,42.74125,2.1425,41.8424,1.926
25,AMAR2,Ambrosia artemisiifolia L.,Uvalde_2020_02,29.591111,-100.091111,482,6/15/2020,AMAR2,c3,annual,no,c3_forb,2.076,1.78,37.99,40.815,1.84,41.8424,1.926
29,AMPS,Ambrosia psilostachya DC.,Austin_2020_03,29.776805,-96.24351,66,5/29/2021,AMPS,c3,perennial,no,c3_forb,15.897,2.621,42.336,42.11066667,2.722333333,41.3769375,2.83371875
32,AMPS,Ambrosia psilostachya DC.,Brazos_2020_16,29.986237,-98.429976,77,5/30/2021,AMPS,c3,perennial,no,c3_forb,17.856,3.56,42.98,43.903,3.597333333,41.3769375,2.83371875
35,AMPS,Ambrosia psilostachya DC.,Brazos_2020_18,30.524669,-96.209114,73,5/30/2021,AMPS,c3,perennial,no,c3_forb,16.925,2.907,41.113,41.10133333,3.407333333,41.3769375,2.83371875
38,AMPS,Ambrosia psilostachya DC.,Burnet_2020_12,30.824885,-98.059505,360,5/27/2021,AMPS,c3,perennial,no,c3_forb,18.869,3,42.361,41.219625,2.26975,41.3769375,2.83371875
46,AMPS,Ambrosia psilostachya DC.,Burnet_2020_14,30.840194,-98.343954,321,5/27/2021,AMPS,c3,perennial,no,c3_forb,39.344,3.922,41.621,41.09366667,3.399333333,41.3769375,2.83371875
49,AMPS,Ambrosia psilostachya DC.,Fayette_2020_09,29.860296,-96.71418,103,5/29/2021,AMPS,c3,perennial,no,c3_forb,13.578,2.654,40.898,40.46733333,2.641666667,41.3769375,2.83371875
52,AMPS,Ambrosia psilostachya DC.,Fayette_2021_12,29.864081,-97.206843,154,5/28/2021,AMPS,c3,perennial,no,c3_forb,9.056,2.175,40.27,39.95,2.182,41.3769375,2.83371875
64,ARPU9,Aristida purpurea Nutt.,Bell_2021_08,31.055926,-97.549379,252,6/26/2021,ARPU9,c4,perennial,no,c4_graminoid,14.735,1.756,41.526,43.195,1.4635,43.195,1.4635
66,ASAS,Asclepias asperula (Decne.) Woodson,Sansaba_2020_01,31.28807,-98.619493,351,6/16/2020,ASAS,c3,perennial,no,c3_forb,8.074,1.43,39.89,40.02333333,1.503333333,40.02333333,1.503333333
69,ASLA4,Asclepias latifolia (Torr.) Raf.,Comal_2020_19,30.00668,-98.31665,391,5/26/2021,ASLA4,c3,perennial,no,c3_forb,36.245,3.184,41.664,41.803,3.102,41.803,3.102
72,ASSY,Asclepias syriaca L.,Bandera_2020_03,29.850369,-99.304193,469,5/25/2021,ASSY,c3,perennial,no,c3_forb,19.26,5.234,46.185,44.35233333,4.220333333,43.92113889,3.3175
84,ASSY,Asclepias syriaca L.,Kerr_2020_03,30.055868,-99.341589,551,5/25/2021,ASSY,c3,perennial,no,c3_forb,43.392,4.398,44.36,47.566,4.530666667,43.92113889,3.3175
90,BASA,NA,Comal_2020_21,29.787704,-98.434563,351,6/17/2020,BASA,c3,perennial,no,c3_shrub,4.771,0.94,46.7,46.26666667,0.883333333,46.26666667,0.883333333
96,BOIS,Bothriochloa ischaemum (L.) Keng,Williamson_2019_09,30.706792,-97.859829,271,6/19/2020,BOIS,c4,perennial,no,c4_graminoid,2.847,1.02,43.68,42.47666667,0.916666667,41.88833333,1.046666667
99,BOSA,Bothriochloa saccharoides (Sw.) Rydb.,Blanco_2019_16,29.986237,-98.429976,434,6/17/2020,BOSA,c4,perennial,no,c4_graminoid,4.585,1.27,42.8,42.94666667,1.443333333,42.875,1.475
115,CAREX,Carex spp. L.,Williamson_2019_10,30.539935,-97.771213,253,7/18/2020,CAREX,c4,perennial,no,c4_graminoid,1.829,0.91,41.2,41.29083333,1.035,42.305,1.05425
127,CHFE3,Chamaesyce fendleri (Torr. & A. Gray) Small,Edwards_2019_17,29.953118,-100.356582,694,6/15/2020,CHFE3,c3,perrenial,no,c3_forb,1.862,1.28,45.26,45.345,1.23,45.345,1.23
195,EUMA8,Euphorbia marginata Pursh,Hays_2021_54,29.957819,-98.165764,276,5/26/2021,EUMA8,c3,annual,no,c3_forb,27.675,2.968,39.09,39.56366667,2.974333333,39.29383333,2.464166667
