,DatasetID,ObservationID,Dataset,SpeciesName,AccSpeciesID,AccSpeciesName,ObsDataID,%nitrogen,%carbon,lat,long
1,10,19225,Roots Of the World (ROW) Database,Schizachyrium scoparium,48859,Schizachyrium scoparium,484509,9.7,436,NA,NA
5,130,27620,Global 15N Database,Schizachyrium scoparium,48859,Schizachyrium scoparium,685161,10.1,NA,43.19935,-90.059033
8,130,28527,Global 15N Database,Salsola sp.,48050,Salsola sp,706828,22.4,NA,-29.516425,21.9643382
11,130,28765,Global 15N Database,Bouteloua gracilis,7911,Bouteloua gracilis,712372,11.31368587,NA,45.4166667,-93.166667
14,130,28766,Global 15N Database,Bouteloua gracilis,7911,Bouteloua gracilis,712395,11.64577104,NA,45.4166667,-93.166667
17,130,28767,Global 15N Database,Bouteloua gracilis,7911,Bouteloua gracilis,712418,12.44067215,NA,45.4166667,-93.166667
20,130,28768,Global 15N Database,Bouteloua gracilis,7911,Bouteloua gracilis,712441,13.58461742,NA,45.4166667,-93.166667
23,130,28769,Global 15N Database,Bouteloua gracilis,7911,Bouteloua gracilis,712464,13.88925455,NA,45.4166667,-93.166667
26,130,28770,Global 15N Database,Bouteloua gracilis,7911,Bouteloua gracilis,712487,13.9144946,NA,45.4166667,-93.166667
29,130,28771,Global 15N Database,Bouteloua gracilis,7911,Bouteloua gracilis,712510,15.87086536,NA,45.4166667,-93.166667
32,130,28831,Global 15N Database,Schizachyrium scoparium,48859,Schizachyrium scoparium,713890,10.32463665,NA,45.4166667,-93.166667
35,130,28832,Global 15N Database,Schizachyrium scoparium,48859,Schizachyrium scoparium,713913,10.5308914,NA,45.4166667,-93.166667
38,130,28833,Global 15N Database,Schizachyrium scoparium,48859,Schizachyrium scoparium,713936,10.6250242,NA,45.4166667,-93.166667
41,130,28834,Global 15N Database,Schizachyrium scoparium,48859,Schizachyrium scoparium,713959,10.83107864,NA,45.4166667,-93.166667
44,130,28835,Global 15N Database,Schizachyrium scoparium,48859,Schizachyrium scoparium,713982,11.07650906,NA,45.4166667,-93.166667
47,130,28836,Global 15N Database,Schizachyrium scoparium,48859,Schizachyrium scoparium,714005,11.07892715,NA,45.4166667,-93.166667
50,130,28837,Global 15N Database,Schizachyrium scoparium,48859,Schizachyrium scoparium,714028,11.36443925,NA,45.4166667,-93.166667
53,130,28838,Global 15N Database,Schizachyrium scoparium,48859,Schizachyrium scoparium,714051,11.37004225,NA,45.4166667,-93.166667
56,130,28839,Global 15N Database,Schizachyrium scoparium,48859,Schizachyrium scoparium,714074,11.49520965,NA,45.4166667,-93.166667
59,130,28840,Global 15N Database,Schizachyrium scoparium,48859,Schizachyrium scoparium,714097,11.77647968,NA,45.4166667,-93.166667
62,130,28841,Global 15N Database,Schizachyrium scoparium,48859,Schizachyrium scoparium,714120,12.04608021,NA,45.4166667,-93.166667
65,130,28842,Global 15N Database,Schizachyrium scoparium,48859,Schizachyrium scoparium,714143,12.95456648,NA,45.4166667,-93.166667
68,130,28843,Global 15N Database,Schizachyrium scoparium,48859,Schizachyrium scoparium,714166,14.04767774,NA,45.4166667,-93.166667
71,130,28844,Global 15N Database,Schizachyrium scoparium,48859,Schizachyrium scoparium,714189,14.77801106,NA,45.4166667,-93.166667
74,130,28845,Global 15N Database,Schizachyrium scoparium,48859,Schizachyrium scoparium,714212,16.4163335,NA,45.4166667,-93.166667
77,130,28854,Global 15N Database,Sorghastrum nutans,51135,Sorghastrum nutans,714419,9.03996074,NA,45.4166667,-93.166667
80,130,28855,Global 15N Database,Sorghastrum nutans,51135,Sorghastrum nutans,714442,9.39783767,NA,45.4166667,-93.166667
83,130,28856,Global 15N Database,Sorghastrum nutans,51135,Sorghastrum nutans,714465,10.65014972,NA,45.4166667,-93.166667
86,130,28857,Global 15N Database,Sorghastrum nutans,51135,Sorghastrum nutans,714488,10.80674216,NA,45.4166667,-93.166667
89,130,28858,Global 15N Database,Sorghastrum nutans,51135,Sorghastrum nutans,714511,10.81420629,NA,45.4166667,-93.166667
92,130,28859,Global 15N Database,Sorghastrum nutans,51135,Sorghastrum nutans,714534,11.07602297,NA,45.4166667,-93.166667
95,130,28860,Global 15N Database,Sorghastrum nutans,51135,Sorghastrum nutans,714557,11.35700258,NA,45.4166667,-93.166667
98,130,28861,Global 15N Database,Sorghastrum nutans,51135,Sorghastrum nutans,714580,11.44982206,NA,45.4166667,-93.166667
101,130,28862,Global 15N Database,Sorghastrum nutans,51135,Sorghastrum nutans,714603,11.71502836,NA,45.4166667,-93.166667
104,130,28863,Global 15N Database,Sorghastrum nutans,51135,Sorghastrum nutans,714626,11.84087535,NA,45.4166667,-93.166667
107,130,28864,Global 15N Database,Sorghastrum nutans,51135,Sorghastrum nutans,714649,11.88618765,NA,45.4166667,-93.166667
110,130,28865,Global 15N Database,Sorghastrum nutans,51135,Sorghastrum nutans,714672,12.03184158,NA,45.4166667,-93.166667
113,130,28866,Global 15N Database,Sorghastrum nutans,51135,Sorghastrum nutans,714695,12.07395552,NA,45.4166667,-93.166667
116,130,28867,Global 15N Database,Sorghastrum nutans,51135,Sorghastrum nutans,714718,12.45626053,NA,45.4166667,-93.166667
119,130,28868,Global 15N Database,Sorghastrum nutans,51135,Sorghastrum nutans,714741,13.99054494,NA,45.4166667,-93.166667
1071,70,769870,"Cedar Creek Savanna SLA, C, N Database",Sorghastrum nutans,51135,Sorghastrum nutans,3500262,10.71,448.824,NA,NA
1073,70,769876,"Cedar Creek Savanna SLA, C, N Database",Sorghastrum nutans,51135,Sorghastrum nutans,3500376,7.973,447.127,NA,NA
1075,70,769883,"Cedar Creek Savanna SLA, C, N Database",Sorghastrum nutans,51135,Sorghastrum nutans,3500506,8.364,441.781,NA,NA
1077,70,769896,"Cedar Creek Savanna SLA, C, N Database",Sorghastrum nutans,51135,Sorghastrum nutans,3500753,12.617,451.059,NA,NA
1079,70,769902,"Cedar Creek Savanna SLA, C, N Database",Sorghastrum nutans,51135,Sorghastrum nutans,3500867,12.565,441.5,NA,NA
1081,70,769912,"Cedar Creek Savanna SLA, C, N Database",Sorghastrum nutans,51135,Sorghastrum nutans,3501057,10.695,444.15,NA,NA
1083,70,769919,"Cedar Creek Savanna SLA, C, N Database",Schizachyrium scoparium,48859,Schizachyrium scoparium,3501190,12.349,451.767,NA,NA
1085,70,769920,"Cedar Creek Savanna SLA, C, N Database",Sorghastrum nutans,51135,Sorghastrum nutans,3501209,10.33,447.719,NA,NA
1087,70,769924,"Cedar Creek Savanna SLA, C, N Database",Sorghastrum nutans,51135,Sorghastrum nutans,3501285,12.938,460.219,NA,NA
1089,70,769929,"Cedar Creek Savanna SLA, C, N Database",Schizachyrium scoparium,48859,Schizachyrium scoparium,3501373,12.145,461.669,NA,NA
1091,70,769931,"Cedar Creek Savanna SLA, C, N Database",Sorghastrum nutans,51135,Sorghastrum nutans,3501409,11.462,449.529,NA,NA
1093,70,769940,"Cedar Creek Savanna SLA, C, N Database",Sorghastrum nutans,51135,Sorghastrum nutans,3501568,10.957,447.849,NA,NA
1095,70,769960,"Cedar Creek Savanna SLA, C, N Database",Sorghastrum nutans,51135,Sorghastrum nutans,3501928,14.55,454.97,NA,NA
1097,70,769966,"Cedar Creek Savanna SLA, C, N Database",Schizachyrium scoparium,48859,Schizachyrium scoparium,3502036,10.9,461.59,NA,NA
1099,70,769968,"Cedar Creek Savanna SLA, C, N Database",Sorghastrum nutans,51135,Sorghastrum nutans,3502072,14.73,450.57,NA,NA
1101,70,769977,"Cedar Creek Savanna SLA, C, N Database",Sorghastrum nutans,51135,Sorghastrum nutans,3502234,13.44,455.64,NA,NA
1103,70,769984,"Cedar Creek Savanna SLA, C, N Database",Sorghastrum nutans,51135,Sorghastrum nutans,3502360,13.45,457.1,NA,NA
1105,70,769991,"Cedar Creek Savanna SLA, C, N Database",Sorghastrum nutans,51135,Sorghastrum nutans,3502486,11.74,459.35,NA,NA
1107,70,770025,"Cedar Creek Savanna SLA, C, N Database",Sorghastrum nutans,51135,Sorghastrum nutans,3503089,12.45,449.44,NA,NA
1109,70,770033,"Cedar Creek Savanna SLA, C, N Database",Schizachyrium scoparium,48859,Schizachyrium scoparium,3503233,14.23,456.09,NA,NA
1111,70,770041,"Cedar Creek Savanna SLA, C, N Database",Sorghastrum nutans,51135,Sorghastrum nutans,3503377,12.17,448.64,NA,NA
1113,70,770048,"Cedar Creek Savanna SLA, C, N Database",Sorghastrum nutans,51135,Sorghastrum nutans,3503500,13.73,442.11,NA,NA
1115,70,770075,"Cedar Creek Savanna SLA, C, N Database",Sorghastrum nutans,51135,Sorghastrum nutans,3503983,15.51,455.79,NA,NA
1117,70,770086,"Cedar Creek Savanna SLA, C, N Database",Sorghastrum nutans,51135,Sorghastrum nutans,3504181,11.23,452.68,NA,NA
1119,70,770096,"Cedar Creek Savanna SLA, C, N Database",Sorghastrum nutans,51135,Sorghastrum nutans,3504358,14,446.5,NA,NA
1121,70,770179,"Cedar Creek Savanna SLA, C, N Database",Sorghastrum nutans,51135,Sorghastrum nutans,3505766,13.96,446.959,NA,NA
1123,70,770191,"Cedar Creek Savanna SLA, C, N Database",Sorghastrum nutans,51135,Sorghastrum nutans,3505994,10.725,446.954,NA,NA
1125,70,770200,"Cedar Creek Savanna SLA, C, N Database",Schizachyrium scoparium,48859,Schizachyrium scoparium,3506165,14.184,452.591,NA,NA
1127,70,770201,"Cedar Creek Savanna SLA, C, N Database",Sorghastrum nutans,51135,Sorghastrum nutans,3506184,14.317,450.025,NA,NA
1129,70,770208,"Cedar Creek Savanna SLA, C, N Database",Sorghastrum nutans,51135,Sorghastrum nutans,3506317,14.637,450.206,NA,NA
1131,70,770217,"Cedar Creek Savanna SLA, C, N Database",Schizachyrium scoparium,48859,Schizachyrium scoparium,3506488,13.34,454.322,NA,NA
1133,70,770219,"Cedar Creek Savanna SLA, C, N Database",Sorghastrum nutans,51135,Sorghastrum nutans,3506526,12.573,448.06,NA,NA
1135,70,770227,"Cedar Creek Savanna SLA, C, N Database",Sorghastrum nutans,51135,Sorghastrum nutans,3506678,12.802,446.065,NA,NA
1137,70,770238,"Cedar Creek Savanna SLA, C, N Database",Sorghastrum nutans,51135,Sorghastrum nutans,3506887,14.598,447.125,NA,NA
1139,70,770248,"Cedar Creek Savanna SLA, C, N Database",Schizachyrium scoparium,48859,Schizachyrium scoparium,3507077,11.553,451.729,NA,NA
1141,70,770249,"Cedar Creek Savanna SLA, C, N Database",Sorghastrum nutans,51135,Sorghastrum nutans,3507096,13.411,447.722,NA,NA
1143,70,770253,"Cedar Creek Savanna SLA, C, N Database",Sorghastrum nutans,51135,Sorghastrum nutans,3507172,11.901,443.784,NA,NA
1145,70,770260,"Cedar Creek Savanna SLA, C, N Database",Sorghastrum nutans,51135,Sorghastrum nutans,3507305,10.699,441.54,NA,NA
1147,70,770271,"Cedar Creek Savanna SLA, C, N Database",Sorghastrum nutans,51135,Sorghastrum nutans,3507503,13.38,445.88,NA,NA
1149,70,770294,"Cedar Creek Savanna SLA, C, N Database",Sorghastrum nutans,51135,Sorghastrum nutans,3507917,10.84,445.05,NA,NA
1151,70,770305,"Cedar Creek Savanna SLA, C, N Database",Sorghastrum nutans,51135,Sorghastrum nutans,3508115,12.2,440.7,NA,NA
1153,70,770316,"Cedar Creek Savanna SLA, C, N Database",Schizachyrium scoparium,48859,Schizachyrium scoparium,3508313,11.53,451.35,NA,NA
1155,70,770325,"Cedar Creek Savanna SLA, C, N Database",Schizachyrium scoparium,48859,Schizachyrium scoparium,3508475,12.11,442.2,NA,NA
1157,70,770332,"Cedar Creek Savanna SLA, C, N Database",Sorghastrum nutans,51135,Sorghastrum nutans,3508601,14.66,443.6,NA,NA
1159,70,770401,"Cedar Creek Savanna SLA, C, N Database",Sorghastrum nutans,51135,Sorghastrum nutans,3509830,13.565,441.606,NA,NA
1161,70,770411,"Cedar Creek Savanna SLA, C, N Database",Sorghastrum nutans,51135,Sorghastrum nutans,3510010,16.429,448.92,NA,NA
1163,70,770428,"Cedar Creek Savanna SLA, C, N Database",Sorghastrum nutans,51135,Sorghastrum nutans,3510313,19.231,446.551,NA,NA
1165,70,770458,"Cedar Creek Savanna SLA, C, N Database",Sorghastrum nutans,51135,Sorghastrum nutans,3510822,13.558,440.38,NA,NA
1167,70,770471,"Cedar Creek Savanna SLA, C, N Database",Sorghastrum nutans,51135,Sorghastrum nutans,3511043,16.7,448.77,NA,NA
1169,70,770481,"Cedar Creek Savanna SLA, C, N Database",Schizachyrium scoparium,48859,Schizachyrium scoparium,3511204,11.93,453.25,NA,NA
1171,70,770482,"Cedar Creek Savanna SLA, C, N Database",Sorghastrum nutans,51135,Sorghastrum nutans,3511220,13.83,443.37,NA,NA
1173,70,770550,"Cedar Creek Savanna SLA, C, N Database",Sorghastrum nutans,51135,Sorghastrum nutans,3512376,15.02,441.29,NA,NA
1175,70,770554,"Cedar Creek Savanna SLA, C, N Database",Sorghastrum nutans,51135,Sorghastrum nutans,3512444,18.76,454.62,NA,NA
1177,70,770590,"Cedar Creek Savanna SLA, C, N Database",Sorghastrum nutans,51135,Sorghastrum nutans,3513053,18.953,448.616,NA,NA
1179,70,770706,"Cedar Creek Savanna SLA, C, N Database",Sorghastrum nutans,51135,Sorghastrum nutans,3515027,13.52,445.54,NA,NA
1181,70,770707,"Cedar Creek Savanna SLA, C, N Database",Sorghastrum nutans,51135,Sorghastrum nutans,3515045,13.27,437.73,NA,NA
1183,70,770712,"Cedar Creek Savanna SLA, C, N Database",Sorghastrum nutans,51135,Sorghastrum nutans,3515130,14.7,448.93,NA,NA
1185,70,770716,"Cedar Creek Savanna SLA, C, N Database",Sorghastrum nutans,51135,Sorghastrum nutans,3515202,13.61,448.99,NA,NA
1187,70,770726,"Cedar Creek Savanna SLA, C, N Database",Sorghastrum nutans,51135,Sorghastrum nutans,3515382,13.88,446.27,NA,NA
1189,70,770736,"Cedar Creek Savanna SLA, C, N Database",Sorghastrum nutans,51135,Sorghastrum nutans,3515559,15.39,439.31,NA,NA
1191,70,770744,"Cedar Creek Savanna SLA, C, N Database",Sorghastrum nutans,51135,Sorghastrum nutans,3515703,12.8,455.79,NA,NA
1193,70,770752,"Cedar Creek Savanna SLA, C, N Database",Sorghastrum nutans,51135,Sorghastrum nutans,3515847,13.92,446.6,NA,NA
1195,70,770760,"Cedar Creek Savanna SLA, C, N Database",Sorghastrum nutans,51135,Sorghastrum nutans,3515991,14.13,446.54,NA,NA
360,35,775263,"Reich-Oleksyn Global Leaf N, P Database",Lyonia lucida,34627,Lyonia lucida,3563226,6.9,NA,NA,NA
361,35,775299,"Reich-Oleksyn Global Leaf N, P Database",Lyonia lucida,34627,Lyonia lucida,3563465,9.6,NA,NA,NA
362,35,775332,"Reich-Oleksyn Global Leaf N, P Database",Lyonia lucida,34627,Lyonia lucida,3563691,8.1,NA,NA,NA
363,35,775333,"Reich-Oleksyn Global Leaf N, P Database",Lyonia lucida,34627,Lyonia lucida,3563698,8.5,NA,NA,NA
364,35,775334,"Reich-Oleksyn Global Leaf N, P Database",Lyonia lucida,34627,Lyonia lucida,3563705,5.8,NA,NA,NA
365,35,775335,"Reich-Oleksyn Global Leaf N, P Database",Lyonia lucida,34627,Lyonia lucida,3563712,7,NA,NA,NA
366,35,775348,"Reich-Oleksyn Global Leaf N, P Database",Lyonia lucida,34627,Lyonia lucida,3563803,9,NA,NA,NA
367,35,775349,"Reich-Oleksyn Global Leaf N, P Database",Lyonia lucida,34627,Lyonia lucida,3563810,9.9,NA,NA,NA
368,35,775350,"Reich-Oleksyn Global Leaf N, P Database",Lyonia lucida,34627,Lyonia lucida,3563817,7.9,NA,NA,NA
369,35,775351,"Reich-Oleksyn Global Leaf N, P Database",Lyonia lucida,34627,Lyonia lucida,3563824,9,NA,NA,NA
370,35,775364,"Reich-Oleksyn Global Leaf N, P Database",Lyonia lucida,34627,Lyonia lucida,3563915,8.2,NA,NA,NA
371,35,775365,"Reich-Oleksyn Global Leaf N, P Database",Lyonia lucida,34627,Lyonia lucida,3563922,8.4,NA,NA,NA
372,35,775366,"Reich-Oleksyn Global Leaf N, P Database",Lyonia lucida,34627,Lyonia lucida,3563929,6.8,NA,NA,NA
373,35,775367,"Reich-Oleksyn Global Leaf N, P Database",Lyonia lucida,34627,Lyonia lucida,3563936,7.5,NA,NA,NA
374,35,775378,"Reich-Oleksyn Global Leaf N, P Database",Lyonia lucida,34627,Lyonia lucida,3564013,8.6,NA,NA,NA
375,35,775379,"Reich-Oleksyn Global Leaf N, P Database",Lyonia lucida,34627,Lyonia lucida,3564020,9.8,NA,NA,NA
376,35,775380,"Reich-Oleksyn Global Leaf N, P Database",Lyonia lucida,34627,Lyonia lucida,3564027,8.6,NA,NA,NA
