LastName	FirstName	DatasetID	Dataset	SpeciesName	AccSpeciesID	AccSpeciesName	ObservationID	ObsDataID	TraitID	TraitName	DataID	DataName	OriglName	OrigValueStr	OrigUnitStr	ValueKindName	OrigUncertaintyStr	UncertaintyName	Replicates	StdValue	UnitName	RelUncertaintyPercent	OrigObsDataID	ErrorRisk	Reference	Comment	StdValueStr	
Craine	Joseph	130	Global 15N Database	Bouteloua gracilis	7911	Bouteloua gracilis	28765	712368			113	Reference / source	Publication	Fargione											Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.		Fargione	
Craine	Joseph	130	Global 15N Database	Bouteloua gracilis	7911	Bouteloua gracilis	28765	712372			60	Longitude	Long	-93.166667						-93.166667					Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.	decimal		
Craine	Joseph	130	Global 15N Database	Bouteloua gracilis	7911	Bouteloua gracilis	28765	712373			59	Latitude	Lat	45.4166667						45.4166667					Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.	decimal		
Craine	Joseph	130	Global 15N Database	Bouteloua gracilis	7911	Bouteloua gracilis	28765	712377			264	Soil ph	Soil pH	6.98099995											Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.			
Craine	Joseph	130	Global 15N Database	Bouteloua gracilis	7911	Bouteloua gracilis	28765	712378			62	Mean annual temperature (MAT)	MAT (°C)	6	C										Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.			
Craine	Joseph	130	Global 15N Database	Bouteloua gracilis	7911	Bouteloua gracilis	28765	712379			80	Mean sum of annual precipitation (PPT / MAP / TAP)	MAP (mm)	790	mm/yr										Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.			
Craine	Joseph	130	Global 15N Database	Bouteloua gracilis	7911	Bouteloua gracilis	28765	712382	14	Leaf nitrogen (N) content per leaf dry mass	15	Leaf nitrogen content per dry mass (Nmass)	Leaf %N	1.131368587	%	Single				11.31368587	mg/g			3.43231	Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.	% dry mass		
Craine	Joseph	130	Global 15N Database	Bouteloua gracilis	7911	Bouteloua gracilis	28766	712391			113	Reference / source	Publication	Fargione											Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.		Fargione	
Craine	Joseph	130	Global 15N Database	Bouteloua gracilis	7911	Bouteloua gracilis	28766	712395			60	Longitude	Long	-93.166667						-93.166667					Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.	decimal		
Craine	Joseph	130	Global 15N Database	Bouteloua gracilis	7911	Bouteloua gracilis	28766	712396			59	Latitude	Lat	45.4166667						45.4166667					Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.	decimal		
