"","id_full","leaf_thickness","sla","c_total","n_total","ssd_dimensional","plant_height","c_delta.13","n_delta.15","ldmc"
"48","arch_8_hyed_2_324",0.21,106.25,1516.99,31.21,0.601536189424834,88,-30.93,-0.77,0.430769230769231
"49","temple_8_amtr_1_19",1.35,197.447795823666,1266.65,92.75,0.227542563346001,80,-30.34,-0.85,0.314598540145985
"50","lubb_28_chin2_2_45",1.59,134.79274611399,1089,137.4,0.200426037192465,58,-28.33,6.19,0.179229221482743
"51","lubb_8_prgl2_7_178",0.25,74.9204864359214,1122.07,85.46,1.16387856278342,40,-27.25,4.98,0.371180555555556
"52","arch_11_scrh_1_211",0.3,113.599334995844,1331.85,32,0.234005438935461,53,-12.73,-1.58,0.335097493036212
"53","lubb_29_chin2_2_60",1.55,159.335548172757,1244.27,170.6,0.243198415880155,71,-29.12,3.2,0.174324324324324
"54","arch_18_ptpy_2_395",0.8,129.593613933237,1331.85,45.63,0.473379942895408,62,-28.87,0.41,0.252380952380952
"55","temple_18_toar_1_25",0.23,128.230769230769,983.88,63.19,0.293503804904649,52,-31.23,-1.26,1.3
"56","temple_1_cien_1_89",1.89,114.051338266192,1424.59,34.73,0.0925354193810887,67,-29.42,0.7,0.193409893992933
"57","sevi_6_satr_2_609",0.82,105.555555555556,763.36,115,0.312016473418843,36,-14.2,1.32,0.100278551532033
"58","arch_21_hyed_2_410",0.23,80.4166666666667,1974.38,33.96,0.662057775947164,89,-30.79,-4.12,0.505263157894737
"59","arch_21_hyed_1_259",0.1,93.9130434782609,2039.73,35.93,1.56444753057361,111,-31.73,-0.52,0.410714285714286
"60","temple_1_amtr_3_9",0.94,185.295031055901,945.2,79.49,0.241408418364365,64,-29.7,0,0.322
"61","lubb_28_chin2_1_117",1.68,207.58726899384,1356.62,200.2,0.256901560071477,71,-28.62,4.91,0.147620491057896
"62","arch_21_qumi_2_407",0.95,51.98738170347,1397.2,31.45,0.736661243172428,34,-28.97,0.67,0.518457943925234
"63","arch_1_hyed_1_283",0.14,91.5652173913043,2050.62,28.85,0.575449988710995,75,-31.47,-4.22,0.46
"64","arch_8_qumi_1_226",0.95,53.9501039501039,1462.54,36.17,0.635109404369076,60,-29.95,2.24,0.526642335766423
"65","lubb_29_soel_1_114",0.6,123.684841222289,1255.62,113.66,0.0446649746417996,44,-29.83,1.19,0.227446170618697
"66","temple_8_toar_2_4",4.23,151.376811594203,1166.34,91.94,0.229723705300584,70,-31.87,-0.16,1.38
"67","temple_8_moci_1_31",0.18,221.698113207547,943.01,38.78,0.376529038404718,112,-32.55,-0.28,0.265
"68","arch_8_asre_2_334",0.94,84.3414634146341,1919.93,53.53,0.369032117068159,37,-30.11,1.26,0.384375
"69","lubb_5_soel_1_157",1.32,123.492935635793,1010.05,83.03,0.462825704991937,45,-29.28,3.33,0.263223140495868
"70","arch_28_panic_1_446",0.34,119.942244224422,1928.67,38.92,0.179216665765104,51,-12.88,-0.34,0.292753623188406
"71","temple_28_soha_1_1",1.31,199.556451612903,1853.15,64.32,0.286367717493663,100,-12.48,-0.61,0.273529411764706
"72","temple_1_amtr_2_6",1.01,159.708932753429,844.82,40.87,0.385794833717053,62,-30.69,1.26,0.427
"73","arch_28_panic_2_449",0.52,112.334533370258,2112.53,40.87,0.199214115152495,67,-12.49,0,0.302428810720268
"74","arch_8_pase_1_229",1.37,221.126644736842,1408.09,48.31,0.114609936472008,27,-12.05,1.87,0.240792079207921
"75","arch_18_ptpy_1_392",1.03,155.329341317365,1647.67,57.57,0.537147394711304,36,-29.26,0.2,0.255351681957187
"76","arch_1_hyed_2_313",0.19,88.2432432432432,1832.81,26.03,0.676960185851225,72,-31.78,-3.8,0.528571428571429
"77","lubb_27_chin2_1_123",1.7,206.732522796353,1334.05,178.38,0.236484446519689,46,-28.43,8.31,0.14836527621195
"78","arch_11_qumi_1_202",0.56,51.1348511383538,1527.88,32.47,0.680135301770731,35,-28.56,0.8,0.534644194756554
"79","temple_28_soha_2_4",1.43,206.86473903455,1782.66,89.5,0.336286013865708,133,-12.2,-0.89,0.337272727272727
"80","temple_21_amtr_2_16",0.92,206.971873129862,1319.66,94.15,0.199703250106362,58,-30.99,0.1,0.41775
"81","arch_11_asre_1_359",0.57,88.3116883116883,1484.32,41.29,0.434410911832762,54,-30.7,0.29,0.3696
"82","arch_21_carph_2_422",0.83,181.114718614719,1538.77,55.83,0.15814183831253,18,-31.13,-0.02,0.1375
"83","lubb_29_satr_2_63",0.54,107.67955801105,912.24,125.68,0.321998340334114,48,-12.74,5.37,0.123339011925043
"84","arch_18_scrh_2_371",0.4,141.053604436229,1795.85,46.09,0.173215010298934,42,-13.41,-0.02,0.276020408163265
"85","sevi_15_satr_2_597",0.25,124.583333333333,632.57,86.12,0.389784566207577,31,-14.53,-0.34,0.0933852140077821
"86","lubb_37_soel_2_99",0.62,137.75314861461,1190.28,128.15,0.323774503270348,42,-29.18,6.12,0.214432321486443
"87","sevi_17_satr_1_534",0.22,106.818181818182,737.67,94.86,0.491841926465528,23,-13.83,2.72,0.138801261829653
"88","lubb_28_soel_2_54",1.96,115.093795093795,1190.28,106.43,0.250138816024704,43,-29.22,4.52,0.236869089666173
"89","temple_1_soha_2_63",1.01,185.500140095265,1954.01,99.87,0.399037173620277,109,-13.02,1.18,0.405568181818182
"90","lubb_5_soel_2_9",1.27,155.200553250346,1056.03,114.89,0.177182800147981,39,-30.22,0.4,0.227716535433071
"91","lubb_27_satr_2_33",1.54,89.9709302325581,1166.34,141.62,0.270803347532073,40,-12.1,5.89,0.147197261446299
"92","temple_11_amtr_1_7",1.06,178.717848791894,1665.9,97.64,0.368183080186815,60,-30.73,-0.05,0.493461538461538
"93","temple_1_rutr_1_21",0.49,113.236031518625,1515.9,53.87,0.455051556695662,40,-28.68,-0.47,0.507636363636364
"94","arch_28_scrh_1_268",0.3,96.120178041543,1771.88,30.24,0.224154725021766,85,-12.34,-2.01,0.304977375565611
"95","temple_1_toar_1_36",0.81,133.636363636364,2032.64,90.07,0.328109962308921,90,-31.26,-1.12,1.98
"96","lubb_5_satr_2_3",1.18,126.694915254237,1188.55,167.16,0.383215914973641,46,-12.12,1.85,0.126700071581961
"97","lubb_27_soel_1_129",0.68,140.706131078224,1607.97,146.69,0.405024776425941,28,-28.97,6.08,0.246225923997918
"98","temple_1_amtr_1_3",1.34,194.985835694051,1652.21,117.92,0.268212682209661,65,-31.28,0.14,0.475192307692308
"99","arch_18_qumi_2_374",0.45,55.5680496316402,1375.42,39.24,0.599980546196634,28,-29.49,1.25,0.523123732251521
"100","temple_1_coer_2_98",1.36,174.127423822715,1585.47,96.6,0.141425740307746,46,-29.15,3.08,0.267407407407407
"101","arch_18_pase_1_247",0.32,277.57793764988,985.54,28.93,0.114070761247473,15,-12.7,-0.27,0.238285714285714
"102","sevi_15_satr_1_519",1.48,77.3584905660377,756.93,92.47,0.550259562884783,26,-14.37,-0.02,0.128953771289538
"103","arch_8_qumi_2_321",1.35,56.8875040997048,1429.87,34.28,0.738097439283413,26,-30.25,2.95,0.487060702875399
"104","temple_11_soha_1_1",0.36,183.515677118079,2055.13,85.18,0.450116522874478,87,-12.94,-0.41,0.555185185185185
"105","arch_21_panic_2_428",0.38,99.9470699432892,1771.88,22.68,0.216353730483971,54,-12.4,-2.93,0.312647754137116
"106","lubb_8_arhu_1_166",0.42,154.325396825397,979.52,105,0.262295248488036,42,-12.96,7.85,0.211232187761945
"107","arch_8_asre_1_331",0.53,106.565656565657,797.14,27.83,0.411531419559427,37,-29.17,0.96,0.319354838709677
"108","temple_11_amtr_2_10",1.42,157.955632883863,1099.58,64.41,0.385470970124686,64,-30.48,-0.27,0.489148936170213
"109","temple_1_rutr_2_24",1.04,116.610966904607,1886.74,72.91,0.507934967280457,42,-27.67,1.78,0.46
"110","arch_18_asre_1_398",0.52,86.2906724511931,1462.54,60.26,0.361858019249283,34,-30.42,2.73,0.338970588235294
"111","arch_18_lylu_2_389",0.51,127.463917525773,1013.86,18.81,0.501406943377068,44,-31.69,-0.12,0.351449275362319
"112","arch_21_qumi_1_256",0.86,52.2207267833109,1408.09,31.68,0.856073131971883,25,-28.86,0.79,0.506590909090909
"113","lubb_37_chin2_1_90",1.9,211.713520749665,1233.1,182.72,0.278498539877173,41,-28.62,8.83,0.118930106670912
"114","temple_8_scsc_2_16",0.51,79.8765432098765,1677.52,38.07,0.122038329399536,51,-12.02,0.18,0.636428571428571
"115","arch_21_panic_1_425",0.34,115.042662116041,1419.13,23.93,0.201548010704539,44,-12.44,-3.25,0.292634207240949
"116","lubb_29_satr_1_111",1.94,111.777777777778,1177.44,143.3,0.231484335455334,51,-13.04,4.11,0.126050420168067
"117","temple_18_toar_2_28",0.42,134.04347826087,1770.93,99.27,0.189796126788301,88,-31.56,-1.16,1.15
"118","arch_18_scrh_1_238",0.56,116.977219626168,1292.96,29.27,0.2997530243107,73,-12.83,-0.19,0.268970934799686
"119","temple_11_sonu_1_43",0.47,79.0905115872322,1154.47,25.17,0.384091625163968,78,-11.95,0.23,0.502637362637363
"120","arch_18_lylu_1_386",0.87,94.5004061738424,1124.94,20.53,0.611160027485302,36,-30.27,0.89,0.403606557377049
"121","lubb_8_chin2_1_138",1.37,174.331550802139,1971.95,281.45,0.213703164474554,46,-29.34,7.45,0.143661971830986
"122","sevi_25_soel_3_540",1.18,115.952109464082,956.4,106.09,0.234528379464271,14,-26.67,0.54,0.232996811902232
"123","lubb_29_soel_2_69",1.34,132.637867647059,1615,166.25,0.320762124679875,39,-28.27,-0.11,0.239594802906849
"124","temple_8_toar_1_1",0.49,101.832061068702,1841.96,102.33,0.275719954942362,77,-31.61,-1.64,1.31
"125","temple_1_coer_1_95",1.37,242.503660322108,1330.69,82.74,0.140160480497268,50,-30.09,4.18,0.243928571428571
"126","temple_1_toar_2_45",0.32,210.711610486891,1909.15,88.44,0.199282398184955,62,-31.69,1.13,0.89
"127","temple_1_soha_1_66",1.02,168.43991416309,2010.16,98.24,0.466868077245989,103,-13.08,1.74,0.427522935779816
"128","temple_18_soha_1_1",1.38,190.174897119342,1841.49,83.84,0.449901076532036,105,-12.3,-0.2,0.428823529411765
"129","temple_8_soha_1_7",1.27,219.328793774319,2007.79,96.82,0.415725735748583,71,-12.2,2.13,0.323779527559055
"130","temple_11_pste_2_40",0.76,85.5092592592593,2066.38,99.87,0.436847082165122,51,-31.25,-2.45,2.16
"131","arch_11_pase_1_237",0.85,223.611615245009,1299.18,44.37,0.205398104444867,23,-12.4,1.63,0.218650793650794
"132","sevi_35_satr_6_633",0.11,100,761.22,79.03,0.46972409520098,30,-13.52,2.82,0.148148148148148
"133","arch_28_scrh_2_431",0.72,141.041237113402,1605.69,33.59,0.297303926733776,66,-12.88,-1.02,0.292609351432881
"134","sevi_39_satr_1_507",0.61,90.9722222222222,619.92,85.33,0.359387723369844,13,-13.83,3.65,0.129963898916968
"135","temple_21_soha_2_4",0.93,200.746650906225,1954.01,83.55,0.322678037839054,87,-12.12,-0.61,0.347671232876712
"136","sevi_35_satr_3_549",0.2,99.6,675.93,70.2,0.582674248932519,27,-13.79,2.55,0.168918918918919
"137","temple_1_moci_2_60",0.4,191.91095890411,1685.63,64,0.509663472899155,77,-31.58,-0.58,0.251724137931034
"138","temple_18_soha_2_4",1.29,203.759011328527,1538.85,64.46,0.442157701583963,93,-12.13,-0.03,0.404583333333333
"139","sevi_17_satr_2_621",0.31,147.575757575758,859.32,130.57,0.384626178133871,20,-13.56,2.79,0.0996978851963746
"140","arch_28_pase_2_440",0.42,306.473214285714,821.1,24.61,0.197001365959945,25,-13.29,-0.93,0.189295774647887
"141","temple_8_scsc_1_13",0.43,153.126472898665,1900.61,70.92,0.267195412580545,67,-12.2,1.07,0.5092
"142","arch_18_pase_4_463",0.47,225.753012048193,1124.94,26.5,0.186885613094689,18,-12.69,0.95,0.278991596638655
"143","temple_21_gapu_1_31",0.64,212.552083333333,1308.62,62.71,0.442014837049265,64,-31.72,0.2,0.24
"144","arch_18_pase_2_380",0.37,274.630872483221,1375.42,35.14,0.134173490308935,19,-12.43,0.4,0.230412371134021
"145","arch_28_pigr_2_455",0.3,135.933609958506,1053.48,32.62,0.303550448298358,40,-30.55,-0.15,0.256382978723404
"146","arch_18_qumi_4_460",0.89,53.7406089363385,1429.87,39.16,0.771253324040907,33,-30,0.63,0.545043103448276
"147","lubb_37_chin2_2_75",1.64,127.546239210851,1806.15,187.07,0.328060887536481,33,-27.48,7,0.177772906619904
"148","arch_28_pase_1_277",0.35,250.493273542601,1353.63,33.18,0.202923372572041,40,-12.67,1.54,0.210874704491726
"149","lubb_8_chin2_2_15",0.48,149.609375,1596.42,227.7,0.326172327835733,40,-27.54,7.81,0.154626721430297
"150","temple_11_soha_2_4",0.79,186.822329575953,1909.15,70.56,0.531272781007184,90,-12.76,-0.11,0.433255813953488
"151","sevi_25_soel_4_585",1.74,109.840425531915,1044.61,110.13,0.194352950482785,9,-27.21,2.05,0.226324237560193
"152","lubb_27_chin2_2_30",1,167.640692640693,1199.67,163.73,0.325281667099869,47,-28,2.09,0.134302325581395
"153","sevi_25_soel_2_525",1.28,125.508607198748,1000.39,118.26,0.188502580545248,8,-27.31,2.08,0.23389458272328
"154","lubb_37_soel_1_96",0.69,128.733233979136,1680.34,160.55,0.41678753300878,27,-28.86,6.37,0.215616966580977
"155","temple_21_soha_1_1",1.33,188.055857816467,1886.74,64.73,0.523819674617316,100,-12.35,-0.22,0.313295454545455
"156","temple_21_gapu_2_34",0.66,242.210884353742,937.15,47.43,0.35597496570235,62,-31.67,-0.69,0.196
"157","arch_21_pase_1_262",1,269.967741935484,1244.73,35.93,0.144546169910145,13,-12.12,-1.21,0.26271186440678
"158","arch_21_pase_2_413",0.52,291.867469879518,1440.76,56.7,0.157060085672146,18,-12.66,0.36,0.187218045112782
"159","arch_11_pase_2_353",0.42,248.65329512894,1418.98,33.65,0.225844800566955,10,-12.45,-1.37,0.202906976744186
"160","sevi_35_satr_5_630",0.53,132.222222222222,862.58,86.12,0.427045885628935,18,-13.6,3.51,0.12
"161","sevi_22_hodr_1_573",0.56,128.893617021277,1465.44,100.46,0.644526879559585,6,-28.06,1.85,0.289587184226741
"162","arch_18_asre_2_401",0.65,93.989218328841,1495.21,48.08,0.41667551048419,32,-29.52,1.82,0.356730769230769
"163","temple_11_moci_2_34",0.18,198.04347826087,1607.7,70.15,0.416407570955488,64,-32.42,-0.55,0.306666666666667
"164","lubb_27_satr_1_132",0.49,122.272727272727,1367.92,141.62,0.461828680123917,43,-13.55,7.13,0.148648648648649
"165","temple_11_sonu_2_46",0.2,68.2826434941688,2032.64,50.92,0.568731265461115,52,-12.2,-0.1,0.508488372093023
"166","temple_1_moci_1_57",0.59,166.632443531828,1652.21,65.7,0.471679148859871,68,-31.53,0.95,0.304375
"167","temple_1_phmo_2_128",0.65,219.293785310734,1022.07,56.23,0.406376395210719,34,-30.28,1.07,0.244137931034483
"168","lubb_8_arhu_2_169",0.24,165.368421052632,1122.07,111.58,0.327357962196799,38,-13.11,9.1,0.204962243797195
"169","arch_11_qumi_2_347",0.94,66.2244224422442,1418.98,38.53,0.616534374885476,24,-30.62,1.03,0.511824324324324
"170","sevi_35_satr_4_522",0.38,116.285714285714,865.83,92.47,0.380149398381497,16,-13.55,3.39,0.132575757575758
"171","temple_21_toar_1_25",0.36,202.264150943396,1987.69,91.7,0.315021342355292,68,-31.84,-1.22,0.313609467455621
"172","temple_28_scsc_2_10",0.41,165.50759392486,1819.58,56.25,0.19657900773564,52,-11.52,-1.01,0.379090909090909
"173","temple_8_soha_2_10",0.58,206.63477771525,1447.35,43.6,0.397177018728123,74,-11.66,1.62,0.36265306122449
"174","sevi_39_soel_1_579",0.79,143.261904761905,1134.84,116.63,0.184714567663535,12,-27.49,1.26,0.229382850901147
"175","lubb_37_soel_2_84",0.6,108.998808104887,1397.2,123.31,0.458904059971121,22,-28.94,5.84,0.257046568627451
"176","temple_11_moci_1_31",0.23,231.535433070866,1401.89,61.45,0.391271136540776,60,-32.09,-0.58,0.254
"177","sevi_35_soel_2_510",0.4,119.337094499295,1053.48,86.91,0.312737715555326,13,-28.61,2.95,0.302991452991453
"178","temple_1_eusp_2_116",0.47,294.375,525.88,22.14,0.342339123376945,37,-31.68,-0.32,0.16
"179","temple_1_eusp_1_113",0.05,192,778.41,26.53,0.342656692137035,38,-30.43,-1.25,0.3
"180","arch_28_pigr_1_452",0.63,137.068273092369,1079.03,43.44,0.330271510493528,33,-31.7,-0.59,0.241747572815534
"181","lubb_27_soel_2_39",1.58,125.760065735415,1778.36,154.05,0.343039177212665,25,-30.32,2.56,0.233948481353326
"182","sevi_17_xasp_2_618",0.08,112.307692307692,1121.52,71.53,0.580402123347873,17,-26.13,1.24,0.382352941176471
"183","temple_28_toar_2_28",0.06,136.516853932584,1165.46,70.24,0.261001836599073,78,-32.04,-1.42,0.89
"184","arch_11_asre_2_362",0.59,112.792321116928,1103.16,32.86,0.426089714168012,38,-28.39,-1.05,0.329310344827586
"185","arch_8_pase_2_325",0.7,271.598877980365,1222.95,38.69,0.280953772266136,31,-12.93,-0.11,0.189627659574468
"186","lubb_28_satr_2_48",1.03,109.385964912281,877.7,109.11,0.316031626259331,28,-12.38,6.83,0.116445352400409
"187","sevi_25_soel_1_494",1.44,110.959752321981,1010.32,106.09,0.255169288502868,10,-27.45,0.42,0.23943661971831
"188","temple_1_cien_2_92",1.61,180.702976567448,1424.59,59.23,1.04396376537344,22,-30.94,0.82,0.171630434782609
"189","temple_11_scsc_1_13",1.08,129.984802431611,1864.34,57.54,0.2264806114231,44,-12.39,-1.01,0.548333333333333
"190","lubb_27_prgl2_5_172",0.49,98.2911392405063,1504.45,141.62,0.934555743356658,22,-29.32,1.95,0.30699481865285
"191","sevi_39_soel_2_582",0.99,182.048192771084,1213.55,144.7,0.189305003116348,13,-27.27,2.97,0.2102596580114
"192","temple_1_rubiac_1_84",0.41,212.31884057971,1176.46,34.37,0.132786867078512,35,-31.39,0.69,0.69
"193","sevi_35_soel_4_588",0.62,150.35799522673,1157.26,107.7,0.262080572813088,16,-28.13,1.98,0.244600116754232
"194","temple_1_scsc_1_12",0.89,117.148247978437,1374.88,39.67,0.103015447653832,56,-11.9,0.88,0.515277777777778
"195","temple_21_scsc_1_7",0.62,182.117794486216,1774.88,59.64,0.189939154500568,32,-11.38,-0.35,0.443333333333333
"196","temple_1_spco_2_33",1.12,88.7413050679033,2032.64,58.59,0.280840643008008,61,-12.21,0.94,0.486935483870968
"197","sevi_35_satr_2_504",0.64,99,799.89,86.91,0.463808768878036,17,-13.62,2.96,0.147058823529412
"198","sevi_35_soel_3_591",0.47,135.757575757576,1079.03,100.46,0.343962300832058,13,-27.88,2.88,0.262853005068791
"199","arch_11_pase_4_466",0.29,280.037878787879,1310.07,35.93,0.177874097430204,12,-12.24,-2.22,0.201526717557252
"200","arch_18_qumi_1_244",0.64,62.3608768971332,1745.69,47.29,0.821262387693222,17,-30.43,1.8,0.522466960352423
"201","arch_1_qumi_2_292",0.74,67.6190476190476,1604.11,40.27,0.603832451290726,28,-31.45,4.77,0.495979899497487
"202","temple_8_pape_1_37",0.21,342.040816326531,1441.25,68.61,0.208221580164691,51,-29.36,-0.36,0.98
"203","temple_21_toar_2_28",0.07,119.016393442623,1685.63,77.46,0.334515231991625,50,-31.78,-1.54,0.61
"204","sevi_40_poja_1_564",0.49,174.903846153846,1281.58,101.26,0.459162010820118,28,-26.36,1.07,0.205804749340369
"205","temple_11_toar_1_25",0.85,129.54954954955,1976.46,100.69,0.283421621381894,57,-31.54,-1.71,1.11
"206","lubb_37_chin2_2_93",1.42,226.054794520548,1322.79,191.43,0.32111968341366,24,-28.4,9.17,0.121666666666667
"207","arch_18_qumi_3_434",0.9,54.4627192982456,1462.54,33.89,0.913412258160885,19,-30.93,1.66,0.498360655737705
"208","sevi_22_spfl_1_567",0.18,142.452316076294,1054.59,72.53,0.683968871647025,16,-18.33,1.72,0.365355898456944
"209","temple_1_phmo_1_125",1.48,193.863216266174,1724.13,88.69,0.706863344101391,30,-30.21,3.74,0.284736842105263
"210","sevi_40_soel_2_603",0.99,175.765765765766,1101.31,108.51,0.254331407639748,8,-28.18,1.88,0.211026615969582
"211","lubb_8_prgl2_9_184",0.16,77.4568288854003,1244.27,100.09,1.21566681826806,12,-29.34,3.56,0.404187817258883
"212","temple_11_scsc_2_16",0.43,139.785234899329,1607.97,40.4,0.12938774275109,37,-11.86,-0.41,0.532142857142857
"213","temple_11_toar_2_28",0.53,160,2066.38,92.52,0.375792262050018,47,-31.99,-1.31,2.19
"214","sevi_22_hodr_2_576",0.14,142.107843137255,890.83,68.72,0.577079558367373,9,-27.38,2.37,0.283727399165508
"215","temple_21_miro_3_43",0.24,181.835294117647,1021.76,90.89,0.306057567133449,20,-31.02,-0.7,0.425
"216","temple_21_scsc_2_10",0.1,141.530944625407,1864.34,60.04,0.204260288490481,46,-11.24,-0.21,0.341111111111111
"217","sevi_40_soel_1_555",1.15,122.402234636871,1050.15,95.65,0.329003734783079,12,-27.86,1.71,0.338374291115312
"218","sevi_35_soel_1_479",0.22,127.043010752688,1014.74,80.6,0.432190562903084,13,-28.7,2.18,0.302439024390244
"219","lubb_27_prgl2_1_126",1.56,68.9466666666667,1390.55,101.72,1.18022467958229,13,-27.11,2.97,0.388399792853444
"220","temple_1_rubiac_2_87",0.49,175.106382978723,1496.66,44.16,0.269313808335843,65,-31.14,-0.33,0.47
"221","sevi_35_satr_1_488",0.54,149.090909090909,638.9,67.71,0.49909171600807,21,-13.91,2.2,0.139240506329114
"222","sevi_6_xasp_1_476",0.19,96.3888888888889,1396.07,91.67,0.46940422994219,17,-26.61,1.88,0.308571428571429
