people,date,site,plot,treatment,plant_code,rep,DS_curve_start_time,licor_curve_start_time,licor_curve_end_time,total_time,id_licor,machine,ID.matches.user.defined.variable.,Performed.auto.match.before.curve.,Did.leaf.fit.entire.cuvette.,leaf.width...cm...if.needed.,entered.width.into.licor.,curve_start_time,envelope_multi,notes_licor,multi_time,time_multi,envelope_multi,envelope_stem,envelope_extra,p_height_cm,ddh_90_mm,ddh_180_mm,notes_all_hard
"MK, GG",5/24/2023,temple,1,control,soha,1,9:17,10:19,10:29,0:10,temple_1_soha_1_66,yadi,y,y,n,2.1,y,9:17,66,,9:25,9:25:00 AM,66,67,68,103,3.52,3.4,___licor off by an hour when reported by tech!
"MK, GG",5/24/2023,temple,1,control,amtr,4,9:55,10:55,11:04,0:09,temple_1_amtr_4_69,yadi,y,y,y,NA,NA,9:55,69,,10:09,10:09:00 AM,69,70,71,86,7.75,7.89,__AMTR photosyc 1 app_licor off by an hour when reported by tech!
"MK, GG",5/24/2023,temple,1,control,coca,1,10:36,11:37,11:52,0:15,temple_1_coca_1_72,yadi,y,y,y,NA,NA,10:36,72,,10:55,10:55:00 AM,72,73,74,45,1.33,0.96,__leaf detached during multispec measurments_weird amount of time? Also time starts at 11:37 jumps to 11:42 to 11:52. This might have been when the licor died? 
"MK, GG",5/24/2023,temple,1,control,scsc,4,11:36,12:30,12:40,0:10,temple_1_scsc_4_75,yadi,y,y,n,1,y,10:36,75,3 blades,11:44,11:44:00 AM,75,76,77,43,2.55,0.36,3 blades___transcription was off. 
"MK, GG",5/24/2023,temple,1,control,toar,1,12:57,12:57,13:06,0:09,temple_1_toar_1_36,yadi,y,y,n,n,n,mia,36,SLA needed,12:11,12:11:00 PM,36,37,38,90,3.93,4.11,"SLA needed___missing time from datasheet, but the original licor ID looks right!"
EG,5/24/2023,temple,8,npk,toar,1,12:23,13:23,13:32,0:09,temple_8_toar_1_1,yadi,y,y,n,2,y,12:23,1,leaf area measures 5/24,14:08,2:08:00 PM,1,2,3,77,3.62,3.36,leaf area measures 5/24_multi time is 14:08.. so I have suspicious about either the time or something else (like licor time could be 13:23 or something)_45436_incorrect data for both soft and hard ds? Licor file reads 05/24??
EG,5/25/2023,temple,8,npk,soha,1,10:56,10:56,11:05,0:09,temple_8_soha_1_7,yadi,y,y,n,2.3,y,10:56,7,5/28 = okay,11:22,11:22:00 AM,7,8,9,71,3.55,3.33,5/28 = okay___
EG,5/25/2023,temple,8,npk,amtr,1,11:55,11:55,12:05,0:10,temple_8_amtr_1_19,yadi,y,y,y,NA,NA,11:55,19,check licor name might be SOHA,10:17,10:17:00 AM,19,20,21,80,5.58,5.37,"check licor name might be SOHA___initial licor id ""temple_08_npk_soha"", updated id is based on time. "
EG,5/25/2023,temple,8,npk,coca,1,12:44,12:43,12:53,0:10,temple_8_coca_1_25,yadi,y,y,n,NA,NA,12:44,25,issue with temp 30-33C,12:01,12:01:00 PM,25,26,27,49,0.97,1.06,issue with temp 30-33C___
EG,5/25/2023,temple,8,npk,scsc,1,13:36,13:36,13:45,0:09,temple_8_scsc_1_13,yadi,y,y,mia,1.6,y,13:36,13,issue with temp 32C,11:22,11:22:00 AM,13,14,15,67,1.64,4.63,issue with temp 32C___
